name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,country_code
Austria,AT,AT,2026-09-02 16:10:02,2026-09-01 00:00:00+00:00,2026-09-02,67.1577,78.2,85.88,137.39,0.0,-137.4,100.2789,844.66,1083.51,99.0287,1.2502,100,C,0.14,66.97,AT
Belgium,BE,BE,2026-09-02 12:00:03,2026-09-01 00:00:00+00:00,2026-09-02,4.2398,152.95,2.77,45.08,0.0,-45.1,7.61,88.14,169.66,5.9959,1.3135,100,C,0.59,55.71,BE
Czech Republic,CZ,CZ,2026-09-02 09:30:08,2026-09-01 00:00:00+00:00,2026-09-02,32.0686,77.05,41.62,137.7,1.6,-136.1,45.3059,564.33,733.7,41.6031,3.7028,100,C,0.11,70.78,CZ
Germany,DE,DE,2026-09-03 10:20:51,2026-09-01 00:00:00+00:00,2026-09-02,132.0337,903.9,14.61,338.06,24.2,-313.9,246.539,4293.73,7068.47,205.6966,47.2118,100,C,0.24,53.55,DE
Spain,ES,ES,2026-09-02 10:44:33,2026-09-01 00:00:00+00:00,2026-09-02,26.3176,326.6,8.06,0.0,0.0,0.0,35.8318,143.34,208.96,-,-,100,C,-0.0,73.45,ES
EU,eu,eu,2026-09-03 14:10:03,2026-09-01 00:00:00+00:00,2026-09-02,741.9196,3519.0,21.08,2666.6,143.3,-2523.3,1130.3626,12218.54,20027.89,1006.272,93.8627,100,C,0.24,65.64,EU
France,FR,FR,2026-09-02 11:50:02,2026-09-01 00:00:00+00:00,2026-09-02,88.8468,368.0,24.14,539.9,29.5,-510.4,123.8779,1077.83,2415.29,123.8779,0,100,C,0.41,71.72,FR
Croatia,HR,HR,2026-09-02 11:10:14,2026-09-01 00:00:00+00:00,2026-09-02,3.5183,27.6,12.75,31.05,0.7,-30.3,4.7725,43.87,51.57,4.7725,0,100,C,0.63,73.72,HR
Hungary,HU,HU,2026-09-03 11:40:19,2026-09-01 00:00:00+00:00,2026-09-02,47.0601,94.3,49.9,164.0,0.0,-164.0,67.7072,487.43,820.42,66.0444,1.6628,100,C,0.24,69.51,HU
Italy,IT,IT,2026-09-02 20:17:23,2026-09-01 00:00:00+00:00,2026-09-02,169.1942,677.35,24.98,176.6,34.4,-142.2,203.4249,1728.91,2851.78,192.3958,11.0291,100,C,0.07,83.17,IT
Latvia,LV,LV,2026-09-03 12:20:12,2026-09-01 00:00:00+00:00,2026-09-02,11.0415,9.2,120.02,51.6,0.0,-51.6,24.4053,160.0,74.0,16.4453,7.96,100,C,0.21,45.24,LV
Netherlands,NL,NL,2026-09-03 14:10:03,2026-09-01 00:00:00+00:00,2026-09-02,68.6219,300.15,22.86,607.98,25.7,-582.3,143.7945,1485.35,2657.9,142.404,1.3904,100,C,0.43,47.72,NL
Poland,PL,PL,2026-09-02 07:20:07,2026-09-01 00:00:00+00:00,2026-09-02,34.6049,241.5,14.33,150.75,0.0,-150.7,36.8491,359.01,595.31,36.5015,0.3476,100,C,0.41,93.91,PL
Portugal,PT,PT,2026-09-02 15:00:03,2026-09-01 00:00:00+00:00,2026-09-02,3.323,42.55,7.81,0.0,0.0,0.0,3.57,0.0,85.68,3.2656,0.3044,100,C,0.02,93.08,PT
Romania,RO,RO,2026-09-02 09:37:25,2026-09-01 00:00:00+00:00,2026-09-02,24.2724,109.25,22.22,113.23,0.0,-113.2,33.8636,258.75,312.44,29.162,4.7015,100,C,0.33,71.68,RO
Serbia,RS,RS,2026-09-03 17:37:19,2026-09-01 00:00:00+00:00,2026-09-02,,,0.0,,,,,,,-,-,-,N,,,RS
Slovakia,SK,SK,2026-09-02 06:40:28,2026-09-01 00:00:00+00:00,2026-09-02,18.632,49.45,37.68,91.74,26.8,-64.9,36.839,541.52,687.4,27.812,9.027,100,C,0.18,50.58,SK
Ukraine,UA,UA,2026-09-02 06:58:51,2026-09-01 00:00:00+00:00,2026-09-02,107.5948,228.85,47.02,452.3,1.4,-450.9,321.1555,2211.56,1793.1,0,213.5607,100,C,0.14,33.5,UA
